Date,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)",Is_Service_National,Is_Service_International,Year,month
2018-01,VALENCE ALIXAN TGV,PARIS LYON,132.0,280,2,130,11.22217949,5.252158273,48,39.12465278,5.893585132,45,5.893585132,21,7,17.5,37.5,12.5,25.0,2.5,5.0,True,False,2018,1
2018-01,STUTTGART,PARIS EST,185.0,154,5,124,4.631989247,3.918232662,12,34.57777778,4.045525727,12,4.045525727,4,1,41.66666667,25.0,0.0,16.66666667,0.0,16.66666667,False,True,2018,1
2018-01,PARIS MONTPARNASSE,ANGERS SAINT LAUD,90.0,385,3,49,8.362585034,0.730104712,52,19.84358974,4.24943281,22,4.24943281,8,1,21.42857143,23.80952381,21.42857143,23.80952381,9.523809524,0.0,True,False,2018,1
2018-01,PARIS MONTPARNASSE,ANGOULEME,126.0,239,4,36,6.347685185,0.751560284,28,18.02202381,4.113191489,15,4.113191489,3,0,15.38461538,38.46153846,19.23076923,23.07692308,3.846153846,0.0,True,False,2018,1
2018-01,PARIS MONTPARNASSE,BREST,223.0,281,1,39,8.1,0.75172619,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0,True,False,2018,1
2018-01,RENNES,PARIS MONTPARNASSE,99.0,599,4,238,7.589985994,3.0667507,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762,True,False,2018,1
2018-01,METZ,PARIS EST,85.0,307,1,128,8.046614583,3.431263617,64,14.51614583,3.320098039,17,3.320098039,8,0,18.91891892,8.108108108,37.83783784,29.72972973,2.702702703,2.702702703,True,False,2018,1
2018-01,NANCY,PARIS EST,93.0,306,1,71,8.252347418,1.981857923,33,15.96212121,1.192568306,13,1.192568306,5,0,21.05263158,21.05263158,36.84210526,10.52631579,5.263157895,5.263157895,True,False,2018,1
2018-01,PARIS EST,REIMS,45.0,218,1,34,5.49,0.79078341,21,12.04126984,1.435560676,6,1.435560676,0,0,18.75,12.5,6.25,18.75,43.75,0.0,True,False,2018,1
2018-01,LILLE,LYON PART DIEU,190.0,292,8,122,10.04112022,4.375234742,36,56.1587963,7.582805164,31,7.582805164,22,13,40.0,30.0,5.0,20.0,5.0,0.0,True,False,2018,1
2018-01,PARIS NORD,LILLE,64.0,568,5,98,8.828911565,1.499230314,97,21.02491409,4.133274127,40,4.133274127,15,6,38.0952381,21.42857143,9.523809524,21.42857143,9.523809524,0.0,True,False,2018,1
2018-01,NANTES,PARIS VAUGIRARD,143.0,62,0,15,13.87111111,3.647043011,6,47.28055556,5.310215054,5,5.310215054,3,1,0.0,50.0,0.0,16.66666667,16.66666667,16.66666667,True,False,2018,1
2018-01,NICE VILLE,PARIS LYON,346.0,197,0,84,9.961309524,4.370642978,33,46.82525253,8.570981387,33,8.570981387,20,8,38.70967742,25.80645161,9.677419355,19.35483871,0.0,6.451612903,True,False,2018,1
2018-01,PARIS LYON,BELLEGARDE (AIN),160.0,231,2,34,5.780882353,0.563464338,64,36.38802083,11.86091703,49,11.86091703,24,10,40.0,25.45454545,25.45454545,5.454545455,3.636363636,0.0,True,False,2018,1
2018-01,PARIS LYON,GRENOBLE,180.0,262,0,40,9.715,1.226208651,40,34.38666667,6.618193384,32,6.618193384,15,8,15.385,25.64102564,28.20512821,28.20512821,2.564102564,0.0,True,False,2018,1
2018-01,PARIS LYON,MONTPELLIER,209.0,294,0,47,12.22801418,1.626247166,37,39.01036036,4.363038549,37,4.363038549,19,6,25.71428571,45.71428571,11.42857143,14.28571429,2.857142857,0.0,True,False,2018,1
2018-01,LAUSANNE,PARIS LYON,219.0,144,3,110,3.083181818,2.491489362,21,30.352,4.70248227,22,4.70248227,9,2,28.57142857,14.28571429,33.33333333,9.523809524,0.0,14.28571429,False,True,2018,1
2018-01,PARIS LYON,BARCELONA,387.0,62,0,16,11.94479167,2.667741935,8,49.5,8.55,8,8.548387097,4,1,12.5,37.5,25.0,25.0,0.0,0.0,False,True,2018,1
2018-01,ANGOULEME,PARIS MONTPARNASSE,125.0,270,4,135,5.710123457,2.971365915,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38,3.846153846,1.923076923,True,False,2018,1
2018-01,LA ROCHELLE VILLE,PARIS MONTPARNASSE,165.0,222,0,8,2.875,0.095795796,34,21.52401961,5.696096096,22,5.696096096,5,0,15.38461538,30.76923077,38.46153846,11.53846154,3.846153846,0.0,True,False,2018,1
2018-01,PARIS MONTPARNASSE,BORDEAUX ST JEAN,143.0,775,7,148,9.377815315,1.582530382,79,25.47911392,2.546961806,45,2.546961806,21,4,21.66666667,25.0,11.66666667,40.0,1.666666667,0.0,True,False,2018,1
2018-01,PARIS MONTPARNASSE,RENNES,97.0,590,1,79,10.08860759,1.029654782,107,21.10280374,4.968336163,35,4.968336163,12,7,12.65822785,41.7721519,18.98734177,24.05063291,2.53164557,0.0,True,False,2018,1
2018-01,PARIS MONTPARNASSE,ST MALO,156.0,102,0,12,19.9125,1.966666667,13,48.62307692,6.790686275,8,6.724757282,6,4,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0.0,True,False,2018,1
2018-01,PARIS MONTPARNASSE,TOULOUSE MATABIAU,257.0,182,1,38,10.4122807,1.958747698,21,57.18095238,6.779558011,21,6.779558011,17,7,47.61904762,28.57142857,0.0,19.04761905,4.761904762,0.0,True,False,2018,1
2018-01,RENNES,LYON PART DIEU,233.0,99,0,23,3.0,0.696969697,6,40.05833333,2.244612795,6,2.244612795,2,1,0.0,50.0,25.0,25.0,0.0,0.0,True,False,2018,1
2018-01,PARIS EST,STRASBOURG,112.0,494,9,49,6.267006803,0.576323024,14,27.3,0.77814433,11,0.77814433,5,1,25.0,8.333333333,8.333333333,50.0,8.333333333,0.0,True,False,2018,1
2018-01,STRASBOURG,PARIS EST,112.0,507,7,239,7.218828452,3.5573,46,24.83876812,2.675233333,34,2.675233333,11,1,35.8974359,12.82051282,17.94871795,15.38461538,5.128205128,12.82051282,True,False,2018,1
2018-01,MARSEILLE ST CHARLES,LILLE,307.0,187,2,40,8.270416667,1.778288288,37,45.59459459,10.79558559,37,10.79558559,19,7,32.25806452,35.48387097,9.677419355,12.90322581,3.225806452,6.451612903,True,False,2018,1
2018-01,AVIGNON TGV,PARIS LYON,159.0,538,0,109,11.68730887,2.113475836,88,31.96856061,5.797924411,62,5.797924411,35,12,36.47058824,24.70588235,16.47058824,18.82352941,0.0,3.529411765,True,False,2018,1
2018-01,LYON PART DIEU,PARIS LYON,120.0,659,3,384,6.344574653,3.823424797,85,26.8054902,4.030614837,53,4.030614837,20,6,26.66666667,24.0,26.66666667,17.33333333,5.333333333,0.0,True,False,2018,1
2018-01,LYON PART DIEU,MONTPELLIER,112.0,303,5,168,12.66438492,7.26303132,49,38.8292517,6.859731544,34,6.859731544,19,8,30.76923077,33.33333333,10.25641026,17.94871795,7.692307692,0.0,True,False,2018,1
2018-01,MULHOUSE VILLE,PARIS LYON,168.0,328,8,106,6.577044025,2.199895833,24,34.37361111,2.280208333,19,2.280208333,8,4,37.5,12.5,29.16666667,4.166666667,4.166666667,12.5,True,False,2018,1
2018-01,PARIS LYON,DIJON VILLE,96.0,468,6,62,11.56935484,1.227525253,40,31.12083333,3.146212121,32,3.146212121,16,4,14.28571429,40.0,17.14285714,25.71428571,2.857142857,0.0,True,False,2018,1
2018-01,PARIS LYON,VALENCE ALIXAN TGV,130.0,323,0,47,12.06631206,1.415995872,44,33.97272727,5.24122807,33,5.24122807,17,7,15.0,30.0,25.0,25.0,5.0,0.0,True,False,2018,1
2018-01,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,168.0,118,0,12,6.373611111,0.575564972,13,30.64358974,4.12019774,7,4.12019774,4,2,40.0,30.0,20.0,0.0,10.0,0.0,True,False,2018,1
2018-01,GENEVE,PARIS LYON,194.0,230,1,161,3.735817805,2.861863173,36,40.26990741,7.178238719,36,7.178238719,19,7,69.44444444,16.66666667,5.555555556,0.0,5.555555556,2.777777778,False,True,2018,1
2018-01,ANGERS SAINT LAUD,PARIS MONTPARNASSE,91.0,393,2,204,6.400490196,3.455754476,77,24.27424242,6.0728474,35,6.0728474,19,4,37.5,37.5,8.928571429,5.357142857,8.928571429,1.785714286,True,False,2018,1
2018-01,PARIS MONTPARNASSE,LE MANS,54.0,441,2,62,10.47446237,1.174867122,65,16.90461538,2.997570235,22,2.997570235,9,3,28.94736842,26.31578947,10.52631579,26.31578947,5.263157895,2.631578947,True,False,2018,1
2018-01,STRASBOURG,NANTES,286.0,40,1,9,4.151851852,0.898717949,5,46.75333333,8.574786325,5,8.574786325,2,2,20.0,20.0,40.0,20.0,0.0,0.0,True,False,2018,1
2018-01,ARRAS,PARIS NORD,51.0,312,4,118,8.863983051,3.56525974,64,22.25078125,5.351785714,16,5.352,9,5,24.32432432,21.62162162,35.13513514,13.51351351,5.405405405,0.0,True,False,2018,1
2018-01,PARIS NORD,ARRAS,51.0,287,5,50,8.698333333,1.477186761,40,17.36916667,2.908333333,15,2.908333333,5,2,41.66666667,25.0,8.333333333,19.44444444,5.555555556,0.0,True,False,2018,1
2018-01,BORDEAUX ST JEAN,PARIS VAUGIRARD,144.0,62,0,15,22.39444444,5.397580645,9,45.39,6.180913978,7,6.180913978,5,2,11.11111111,11.11111111,22.22222222,55.55555556,0.0,0.0,True,False,2018,1
2018-01,TOURCOING,BORDEAUX ST JEAN,286.0,31,0,5,8.4,1.35483871,7,47.86428571,12.04408602,7,12.04408602,3,1,0.0,0.0,33.33333333,66.66666667,0.0,0.0,True,False,2018,1
2018-01,TOURCOING,MARSEILLE ST CHARLES,309.0,31,1,0,0.0,0.0,1,58.88333333,2.345,1,2.345,1,0,100.0,0.0,0.0,0.0,0.0,0.0,True,False,2018,1
2018-01,BELLEGARDE (AIN),PARIS LYON,162.0,259,3,115,8.253188406,3.758333333,53,34.96918239,7.531966146,42,7.53,21,9,54.90196078,19.60784314,15.68627451,1.960784314,5.882352941,1.960784314,True,False,2018,1
2018-01,CHAMBERY CHALLES LES EAUX,PARIS LYON,184.0,278,1,149,15.00626398,8.019795427,69,38.49082126,10.27063779,60,10.27063779,26,12,24.13793103,17.24137931,32.75862069,20.68965517,3.448275862,1.724137931,True,False,2018,1
2018-01,LYON PART DIEU,MARSEILLE ST CHARLES,107.0,539,7,271,16.21242312,8.403414787,114,39.73888889,9.378195489,96,9.378195489,46,21,30.66666667,28.0,20.0,14.66666667,1.333333333,5.333333333,True,False,2018,1
2018-01,MARNE LA VALLEE,MARSEILLE ST CHARLES,217.0,323,6,181,12.37053407,7.174973712,49,44.03129252,8.152208202,49,8.152208202,22,10,46.66666667,16.66666667,6.666666667,20.0,6.666666667,3.333333333,True,False,2018,1
2018-01,MARSEILLE ST CHARLES,MARNE LA VALLEE,214.0,312,2,77,10.71558442,2.581774194,46,43.54166667,6.862311828,46,6.862311828,27,12,19.51219512,34.14634146,12.19512195,26.82926829,2.43902439,4.87804878,False,False,2018,1
2018-01,PARIS LYON,ANNECY,225.0,199,1,29,13.08390805,1.746632997,21,41.0952381,7.090909091,21,7.090909091,10,5,19.04761905,33.33333333,19.04761905,28.57142857,0.0,0.0,True,False,2018,1
2018-01,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.0,208,0,18,10.46574074,0.502804487,36,17.18009259,4.026282051,14,4.026282051,8,0,20.0,32.0,24.0,20.0,4.0,0.0,True,False,2018,1
2018-01,PARIS LYON,MACON LOCHE,95.0,227,1,31,14.99731183,1.88620944,27,33.24382716,4.591814159,23,4.591814159,13,3,12.0,44.0,4.0,36.0,4.0,0.0,True,False,2018,1
